Company,EMP_ID,Job Classification,Job Title,Region,Job Location,Division, Org/department of the employee,Division Revenue / year, Average tenure in the company, Total years of experience,Pay Grade, Total CTC ,Compa-ratio,Join year,Left year,Impact-Leaving,Reason-Leaving,Skill Level (out of 10), Input - avergage cost of rehire,Cost to train/year,Average courses/year, # of tickets/year, # of re-opens for a tickets/ year,customer satisfaction score ( out of 10),avg ticket complexity(out of 10),avg duration to close(hrs), Average score of positive feedback from customer sentiment (out of 10), Average score of negative feedback from customer sentiment (out of 10),Overall_Performance_Rating,Overall_Performance_Rating_Description,newtoposition,Manager,future_leader,Gender,Married,exit_interview_overallscore(out of 10),rehire?,left
Amazing R & D,236889,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z14,"$48,000 ",0.78,2012,2017,Low,Personal,7,7841,1402,2,139,55,4,6,2,5,9,1,Successful,Yes,No,No,F,NO,7,No,1
Nikey R & D ,395437,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z15,"$48,000 ",0.78,2016,2018,High,Marriage,7,4440,868,3,141,63,6,5,1,7,9,1,Successful,yes,No,No,F,NO,4,No,0
Alphabet-Soup Research & Development,717218,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z16,"$48,000 ",0.78,2013,2018,High, Resignation to Competitor,6,6910,1214,1,83,55,7,4,1,5,4,1,Successful,no,No,No,F,NO,4,No,1
Netflex R & D,198460,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z17,"$48,000 ",0.78,2017,2019,High, Terminaton - School,7,7862,968,1,179,75,6,4,2,7,7,1,Successful,yes,No,No,F,NO,2,No,0
Amazing R & D,104038,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z18,"$48,000 ",0.78,2014,2017,High,Personal,6,5622,1163,2,164,69,8,9,1,4,9,1,Successful,yes,Yes,No,M,NO,3,yes,1
Nikey R & D ,386545,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z19,"$48,000 ",0.78,2012,2017,High,Inv Elimination of Position,7,7195,1123,2,115,55,5,8,2,5,8,1,Successful,yes,yes,Yes,M,NO,3,Yes,0
Alphabet-Soup Research & Development,345517,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z20,"$48,000 ",0.78,2016,2018,Low,Compensation,6,5623,904,1,128,51,6,4,1,7,5,1,Successful,No,No,yes,M,NO,3,No,1
Netflex R & D,827063,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z21,"$48,000 ",0.78,2014,2019,Med,Compensation,8,6861,891,1,188,65,4,5,1,9,9,1,Successful,No,No,No,F,NO,7,No,0
Amazing R & D,491846,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z22,"$48,000 ",0.78,2014,2018,Med,Compensation,8,6092,902,1,189,55,8,9,1,9,5,1,Successful,No,No,No,F,NO,6,No,0
Nikey R & D ,306812,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z12,"$40,343 ",0.72,2017,2019,Low,Compensation,8,4711,1024,3,81,79,9,9,1,8,6,1,Successful,No,No,No,F,NO,4,No,1
Alphabet-Soup Research & Development,443414,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z12,"$40,343 ",0.72,2014,2017,High,Compensation,8,7709,1167,3,112,67,5,9,1,7,9,1,Successful,No,No,No,F,NO,4,No,0
Netflex R & D,337155,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z13,"$40,343 ",0.72,2015,2017,High, Resignation to Competitor,8,4825,1425,1,146,55,7,6,1,7,4,1,Insufficient,No,No,No,F,NO,6,No,1
Amazing R & D,730735,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z14,"$40,343 ",0.72,2013,2017,High, Resignation to Competitor,6,7458,1136,3,180,59,7,4,1,7,4,1,Insufficient,No,Yes,Yes,M,YES,5,No,1
Nikey R & D ,766100,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z15,"$40,343 ",0.72,2014,2019,High, Resignation to Competitor,5,6527,959,1,150,65,8,5,1,9,8,1,Insufficient,No,yes,yes,M,YES,6,No,1
Alphabet-Soup Research & Development,332306,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z16,"$40,343 ",0.72,2012,2017,High, Resignation to Competitor,6,4621,1111,1,157,69,6,4,1,8,4,1,Insufficient,Yes,No,No,M,NO,7,yes,0
Netflex R & D,197189,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z17,"$40,343 ",0.72,2013,2018,Low, Resignation to Competitor,8,6242,866,3,130,68,4,8,2,6,5,1,Insufficient,yes,No,No,F,NO,4,Yes,1
Amazing R & D,225645,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z18,"$40,343 ",0.72,2016,2018,Med, Resignation to Competitor,6,7851,876,2,176,58,9,6,1,6,6,1,Insufficient,no,No,No,F,NO,3,No,1
Nikey R & D ,730072,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z19,"$37,877 ",0.82,2014,2019,Med, Resignation to Competitor,6,5871,995,3,134,57,9,7,2,4,7,1,Insufficient,yes,No,No,F,NO,2,No,0
Alphabet-Soup Research & Development,438136,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z20,"$43,897 ",0.67,2016,2018,Low, Resignation to Competitor,6,6865,1114,2,115,54,5,4,2,6,9,1,Insufficient,yes,No,No,F,NO,2,No,0
Netflex R & D,625545,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z21,"$39,996 ",0.67,2015,2018,High,Personal,8,7530,1067,2,139,72,5,9,1,6,6,3,Insufficient,yes,No,No,F,NO,3,No,1
Amazing R & D,233743,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z22,"$39,000 ",0.78,2016,2018,High,Personal,6,6099,1190,2,117,79,9,7,1,4,6,3,Insufficient,No,Yes,Yes,M,NO,7,No,0
Nikey R & D ,166254,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z12,"$39,000 ",0.78,2012,2017,High,Personal,7,8265,1073,2,119,66,6,8,1,5,6,3,Insufficient,No,yes,yes,M,NO,5,No,0
Alphabet-Soup Research & Development,672161,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z12,"$48,000 ",0.78,2015,2018,High,Personal,6,6126,1101,2,82,50,9,5,2,7,5,3,Insufficient,No,No,No,M,NO,7,No,0
Netflex R & D,740668,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z13,"$48,000 ",0.78,2016,2018,High,Personal,8,6409,1443,3,184,58,6,6,2,8,4,3,Outstanding,No,No,No,F,NO,4,No,1
Amazing R & D,823750,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z14,"$48,000 ",0.78,2014,2018,Low,Personal,6,6720,926,3,99,56,5,9,2,6,5,3,Outstanding,No,No,No,F,NO,2,yes,1
Nikey R & D ,141406,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z15,"$48,000 ",0.78,2015,2018,Med,Personal,7,5864,1065,3,128,52,8,5,1,8,6,3,Successful,No,No,No,F,NO,2,Yes,0
Alphabet-Soup Research & Development,743956,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z16,"$48,000 ",0.78,2014,2018,Med,Marriage,7,8235,1299,3,99,61,6,7,2,6,9,3,Successful,No,No,No,F,NO,4,No,1
Netflex R & D,556008,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z17,"$48,000 ",0.78,2014,2018,Low, Resignation to Competitor,6,7278,1281,2,146,58,7,7,1,6,4,3,Insufficient,No,No,Yes,F,NO,7,No,0
Amazing R & D,740373,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z18,"$48,000 ",0.78,2012,2017,High, Terminaton - School,8,6000,1143,2,154,80,9,4,1,6,4,3,Successful,Yes,Yes,yes,M,NO,3,No,0
Nikey R & D ,649959,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z19,"$48,000 ",0.78,2014,2017,High,Personal,5,7805,953,1,184,60,9,8,2,5,5,3,Successful,yes,yes,No,M,NO,6,No,0
Alphabet-Soup Research & Development,340969,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z20,"$48,000 ",0.78,2012,2017,High,Inv Elimination of Position,6,5747,1441,1,164,54,9,9,1,7,9,3,Successful,no,No,No,M,NO,6,No,0
Netflex R & D,374076,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z21,"$48,000 ",0.78,2017,2019,High,Compensation,5,5288,1136,2,178,61,4,9,1,9,9,3,Successful,yes,No,No,F,NO,4,No,0
Amazing R & D,340317,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z22,"$48,000 ",0.78,2014,2017,High,Compensation,7,4732,1031,1,112,78,6,6,2,6,9,3,Successful,yes,No,No,F,NO,7,No,0
Nikey R & D ,275657,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z12,"$48,000 ",0.78,2016,2018,Low,Compensation,8,5218,1284,1,110,53,7,4,1,4,9,3,Successful,yes,No,No,F,NO,2,No,0
Alphabet-Soup Research & Development,421426,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z12,"$48,000 ",0.78,2013,2018,Med,Compensation,5,6010,1080,1,129,73,4,6,2,9,8,3,Successful,No,No,No,F,NO,4,yes,1
Netflex R & D,115175,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z13,"$48,000 ",0.78,2017,2019,Med,Compensation,5,5685,1306,1,164,67,9,7,2,7,6,3,Successful,No,No,Yes,F,NO,2,Yes,1
Amazing R & D,243642,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z14,"$48,000 ",0.78,2015,2017,Low, Resignation to Competitor,5,5413,1281,3,123,71,9,9,2,4,6,3,Successful,No,Yes,yes,M,YES,7,No,0
Nikey R & D ,252446,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,2,Z1-Z15,"$48,000 ",0.78,2012,2017,High, Resignation to Competitor,7,6536,1060,1,80,59,8,6,1,9,5,3,Successful,No,yes,No,M,YES,7,No,0
Alphabet-Soup Research & Development,358448,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z16,"$40,343 ",0.72,2014,2017,High, Resignation to Competitor,6,4820,982,3,187,52,4,6,1,9,6,3,Successful,No,No,No,M,NO,7,No,0
Netflex R & D,601409,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z17,"$40,343 ",0.72,2016,2019,High, Resignation to Competitor,5,7591,1241,3,95,76,4,5,1,4,6,3,Successful,No,No,No,F,NO,5,No,1
Amazing R & D,130337,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z18,"$40,343 ",0.72,2017,2019,High, Resignation to Competitor,7,6647,1244,1,103,55,9,6,2,5,7,3,Successful,No,No,No,F,NO,3,No,0
Nikey R & D ,284453,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,4,Z1-Z19,"$40,343 ",0.72,2016,2019,High, Resignation to Competitor,6,4735,1113,1,169,75,8,7,2,9,5,3,Successful,No,No,No,F,NO,4,No,1
Alphabet-Soup Research & Development,637399,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z20,"$40,343 ",0.72,2016,2018,Low, Resignation to Competitor,8,5404,1042,1,102,76,5,7,2,9,9,3,Successful,Yes,No,Yes,F,NO,5,No,1
Netflex R & D,406083,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z21,"$40,343 ",0.72,2015,2017,Med, Resignation to Competitor,8,7621,1415,3,107,62,4,4,1,4,4,3,Successful,yes,No,yes,F,NO,2,No,1
Amazing R & D,214034,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z22,"$40,343 ",0.72,2015,2019,Med,Personal,8,5143,1413,2,94,73,8,4,2,7,5,3,Insufficient,no,Yes,No,M,NO,6,yes,1
Nikey R & D ,828237,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z12,"$40,343 ",0.72,2014,2018,Low,Personal,5,7015,1002,1,190,72,6,9,2,9,8,3,Insufficient,yes,yes,No,M,NO,5,Yes,1
Alphabet-Soup Research & Development,182064,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z12,"$37,877 ",0.82,2015,2019,High,Personal,6,5604,889,1,146,54,7,8,1,4,5,3,Insufficient,yes,No,No,M,NO,6,No,1
Netflex R & D,470926,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z13,"$43,897 ",0.67,2016,2019,High,Personal,5,6253,1425,1,157,75,5,7,2,7,7,3,Insufficient,yes,No,No,F,NO,3,No,1
Amazing R & D,528044,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z14,"$39,996 ",0.67,2015,2017,High,Personal,8,6038,1348,3,94,73,8,4,2,9,8,3,Insufficient,No,No,No,F,NO,3,No,0
Nikey R & D ,687215,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z15,"$39,000 ",0.78,2015,2019,High,Personal,5,6896,1131,1,85,75,5,9,2,5,9,3,Insufficient,No,No,No,F,NO,2,No,1
Alphabet-Soup Research & Development,298550,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z16,"$39,000 ",0.78,2013,2017,High,Personal,5,6652,1204,3,92,73,6,6,2,8,9,3,Insufficient,No,No,Yes,F,NO,2,No,1
Netflex R & D,183570,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z17,"$48,000 ",0.78,2014,2018,Low,Marriage,6,8084,1449,3,145,70,5,4,1,4,5,3,Insufficient,No,No,yes,F,NO,4,No,0
Amazing R & D,338115,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z18,"$48,000 ",0.78,2017,2019,Med, Resignation to Competitor,5,6466,1374,2,111,61,6,7,1,7,9,3,Insufficient,No,Yes,No,M,NO,2,No,1
Nikey R & D ,686827,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z19,"$48,000 ",0.78,2013,2017,Med, Terminaton - School,7,6762,1287,2,112,60,7,5,2,5,4,3,Insufficient,No,yes,No,M,NO,3,No,0
Alphabet-Soup Research & Development,266712,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,3,Z1-Z20,"$48,000 ",0.78,2015,2017,Low,Personal,8,7081,1373,2,126,78,5,9,1,7,5,3,Insufficient,No,No,No,M,NO,4,yes,1
Netflex R & D,598100,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z21,"$48,000 ",0.78,2013,2018,High,Inv Elimination of Position,5,4851,1157,2,131,53,6,9,1,9,5,3,Insufficient,No,No,No,F,NO,6,Yes,1
Amazing R & D,324502,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z22,"$48,000 ",0.78,2013,2017,High,Compensation,6,4908,1125,2,169,57,6,7,1,8,7,3,Outstanding,Yes,No,No,F,NO,2,No,1
Nikey R & D ,312757,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z12,"$48,000 ",0.78,2014,2018,High,Compensation,8,4830,1136,2,157,80,8,4,1,8,4,3,Outstanding,yes,No,Yes,F,NO,3,No,0
Alphabet-Soup Research & Development,483789,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z12,"$48,000 ",0.78,2015,2017,High,Compensation,8,6177,1206,1,104,78,4,8,1,5,5,3,Successful,no,No,yes,F,NO,4,No,0
Netflex R & D,250717,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z13,"$48,000 ",0.78,2017,2019,High,Compensation,7,8051,1093,2,116,63,7,9,2,8,4,3,Successful,yes,No,No,F,NO,6,No,0
Amazing R & D,143522,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z14,"$48,000 ",0.78,2014,2017,Low,Compensation,8,4694,1373,2,97,53,9,4,2,9,6,3,Insufficient,yes,Yes,No,M,YES,3,No,0
Nikey R & D ,283970,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z15,"$48,000 ",0.78,2012,2017,Med, Resignation to Competitor,6,5932,1097,3,188,57,7,7,2,6,6,3,Successful,yes,yes,No,M,YES,5,No,1
Alphabet-Soup Research & Development,799066,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z16,"$48,000 ",0.78,2014,2018,Med, Resignation to Competitor,6,8316,1032,2,124,76,4,8,1,7,6,3,Successful,No,No,No,M,NO,2,No,0
Netflex R & D,151813,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z17,"$48,000 ",0.78,2014,2018,Low, Resignation to Competitor,7,4721,1199,1,134,71,6,4,1,7,7,3,Successful,No,No,No,F,NO,2,No,1
Amazing R & D,425868,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z18,"$48,000 ",0.78,2013,2018,High, Resignation to Competitor,8,6878,1179,2,118,62,8,4,1,6,5,3,Successful,No,No,No,F,NO,5,yes,0
Nikey R & D ,338543,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z19,"$48,000 ",0.78,2014,2017,High, Resignation to Competitor,7,6440,1370,2,188,64,5,9,2,5,4,3,Successful,No,No,Yes,F,NO,7,Yes,0
Alphabet-Soup Research & Development,432540,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,1,Z1-Z20,"$48,000 ",0.78,2015,2017,High, Resignation to Competitor,8,8283,1183,1,117,71,6,4,2,9,6,3,Successful,No,No,yes,F,NO,3,No,1
Netflex R & D,126026,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,1,Z1-Z21,"$40,343 ",0.72,2012,2017,High, Resignation to Competitor,5,6490,961,3,155,52,5,6,1,8,9,3,Successful,No,No,No,F,NO,3,No,1
Amazing R & D,554261,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,4,Z1-Z22,"$40,343 ",0.72,2013,2018,High, Resignation to Competitor,5,7717,1162,1,81,80,6,7,2,4,8,3,Successful,No,Yes,No,M,NO,4,No,0
Nikey R & D ,737187,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z12,"$40,343 ",0.72,2014,2019,Low,Personal,5,6807,1169,2,96,72,9,7,2,9,8,3,Successful,No,yes,No,M,NO,4,No,0
Alphabet-Soup Research & Development,524950,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z12,"$40,343 ",0.72,2013,2017,Med,Personal,8,4460,983,3,188,71,8,7,1,7,7,3,Successful,Yes,No,No,M,NO,5,No,0
Netflex R & D,757992,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z13,"$40,343 ",0.72,2013,2017,Med,Personal,7,4572,1232,3,122,80,6,8,2,9,7,3,Successful,yes,No,No,F,NO,3,No,1
Amazing R & D,816160,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z14,"$40,343 ",0.72,2013,2017,Low,Personal,8,7033,1391,1,177,76,6,8,2,7,9,3,Successful,no,No,Yes,F,NO,4,No,0
Nikey R & D ,646472,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,1,Z1-Z15,"$40,343 ",0.72,2013,2017,High,Personal,6,4606,950,3,101,55,7,9,2,7,7,3,Successful,yes,No,yes,F,NO,7,No,1
Alphabet-Soup Research & Development,420797,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z16,"$40,343 ",0.72,2014,2019,High,Personal,5,5615,1371,1,112,67,7,9,1,9,5,3,Successful,yes,No,No,F,NO,5,yes,1
Netflex R & D,432400,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z17,"$37,877 ",0.82,2013,2017,High,Personal,6,8093,1007,2,82,52,4,8,1,6,7,3,Successful,yes,No,No,F,NO,7,Yes,1
Amazing R & D,152769,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z18,"$43,897 ",0.67,2013,2017,High,Marriage,8,7767,997,3,172,75,4,9,2,8,6,3,Successful,No,Yes,No,M,NO,7,No,0
Nikey R & D ,393075,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z19,"$39,996 ",0.67,2015,2018,High, Resignation to Competitor,5,8177,1094,3,110,79,4,6,2,7,4,3,Insufficient,No,yes,No,M,NO,2,No,1
Alphabet-Soup Research & Development,353788,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z20,"$39,000 ",0.78,2016,2019,Low, Terminaton - School,6,5619,1065,2,190,65,4,7,1,7,7,3,Insufficient,No,No,No,M,NO,6,No,1
Netflex R & D,411653,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z21,"$39,000 ",0.78,2013,2018,Med,Personal,7,5280,1182,2,89,53,5,7,1,9,9,3,Insufficient,No,No,No,F,NO,3,No,0
Amazing R & D,222323,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z22,"$48,000 ",0.78,2016,2018,Med,Inv Elimination of Position,5,5885,1243,3,173,55,4,4,1,8,9,3,Insufficient,No,No,Yes,F,NO,6,No,1
Nikey R & D ,476882,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z12,"$48,000 ",0.78,2016,2018,Low,Compensation,6,6626,1157,3,135,77,7,8,1,7,8,3,Insufficient,No,No,yes,F,NO,2,No,1
Alphabet-Soup Research & Development,364246,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z12,"$48,000 ",0.78,2017,2019,High,Compensation,6,6898,1084,3,141,72,6,8,1,8,7,3,Insufficient,No,No,No,F,NO,3,No,0
Netflex R & D,711544,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z13,"$48,000 ",0.78,2013,2018,High,Compensation,6,6251,1090,1,124,73,8,5,1,7,5,1,Insufficient,No,No,No,F,NO,2,No,0
Amazing R & D,173745,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",3,2,Z1-Z14,"$48,000 ",0.78,2014,2017,High,Compensation,6,7990,1265,2,109,51,6,4,2,7,7,1,Insufficient,Yes,Yes,No,M,YES,4,yes,0
Nikey R & D ,569596,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z15,"$48,000 ",0.78,2014,2018,High,Compensation,5,6472,999,3,131,71,5,9,2,9,9,1,Insufficient,yes,yes,No,M,YES,2,Yes,1
Alphabet-Soup Research & Development,436623,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",4,4,Z1-Z16,"$48,000 ",0.78,2014,2018,High, Resignation to Competitor,5,4450,1273,1,86,50,7,8,2,5,9,1,Insufficient,no,No,No,M,NO,6,No,0
Netflex R & D,345578,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",4,3,Z1-Z17,"$48,000 ",0.78,2013,2017,Low, Resignation to Competitor,8,4739,1055,1,176,58,7,5,1,6,9,1,Insufficient,yes,No,Yes,F,NO,5,No,0
Amazing R & D,525467,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",5,3,Z1-Z18,"$48,000 ",0.78,2014,2019,Med, Resignation to Competitor,6,7766,1162,1,141,70,5,7,1,4,5,1,Insufficient,yes,No,yes,F,NO,5,No,1
Nikey R & D ,378410,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",4,2,Z1-Z19,"$48,000 ",0.78,2015,2019,Med, Resignation to Competitor,7,6141,1405,3,104,57,9,6,1,9,6,1,Outstanding,yes,No,No,F,NO,3,No,1
Alphabet-Soup Research & Development,621387,SOS Support,Helpdesk Manager,NA,New York,Support,Mobile Tech Support,"$20,000,000 ",3,3,Z1-Z20,"$48,000 ",0.78,2014,2017,Low, Resignation to Competitor,7,5670,1394,3,181,73,5,7,1,6,7,1,Outstanding,No,No,No,F,NO,7,No,0
Netflex R & D,428714,Management,Tech Manager,NA,Reston,Support,Mobile Tech Support,"$20,000,000 ",2,4,Z1-Z21,"$48,000 ",0.78,2016,2018,High, Resignation to Competitor,5,8455,902,2,190,54,6,6,2,5,8,1,Successful,No,No,No,F,NO,3,No,1
Amazing R & D,608742,Support,Helpdesk Associate,NA,Oregon,Support,Mobile Tech Support,"$20,000,000 ",2,2,Z1-Z22,"$48,000 ",0.78,2017,2019,High, Resignation to Competitor,5,6139,1361,3,118,52,9,8,1,5,6,1,Successful,No,Yes,No,M,NO,4,No,0
Nikey R & D ,114527,Tech Support,Tech Expert,NA,Cleveland,Support,Mobile Tech Support,"$20,000,000 ",3,1,Z1-Z12,"$48,000 ",0.78,2014,2017,High, Resignation to Competitor,6,6668,1128,1,138,66,9,4,1,7,8,1,Insufficient,No,yes,No,M,NO,7,No,0
